NEO-MGA
QFP160
GND,P
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
GND,P
AS,C,IN
UDS,C,IN
LDS,C,IN
RW,C,IN
GND,P
GND,P
GND,P
GND,P
NC,?
VCC,P
GND,P
GND,P
GND,P
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
GND,P
GND,P
GND,P
GND,P
NC,?
GA7 44,C,OUT
GA7 20,C,OUT
GA8 20,C,OUT
NC,?
NC,?
VCC,P
GND,P
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
GA11 21,C,OUT
GA4 DIR,C,OUT
GND,P
?OEL,C,OUT
WWL,C,OUT
?OEU,C,OUT
WWU,C,OUT
SROMOE,C,OUT
NC,?
NC,?
NC,?
GND,P
VCC,P
NC,?
GRC 188,?
GRC 187,?
BITW1,C,OUT
BITW0,C,OUT
SNK1B 10,?
SROMCS,C,OUT
NC,?
VCCON?,?
GND,P
SNK1B 7,?
ROMOEL,C,OUT
ROMOEU,C,OUT
PAL WR,C,OUT
PALBNK,C,OUT
SHADOW,C,OUT
NC,?
GND,P
NC,?
VCC,P
GND,P
RESET,C,IN
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
GND,P
A23I,C,OUT
A22I,C,OUT
VCC,P
NC,?
NC,?
GND,P
GND,P
GND,P
GND,P
VCC,P
GND,P
NC,?
VCC,P
VCC,P
VCC,P
VCC,P
A1,A,IN
A2,A,IN
A3,A,IN
GND,P
A4,A,IN
GND,P
GND,P
A7,A,IN
A8,A,IN
A9,A,IN
A10,A,IN
A11,A,IN
A12,A,IN
VCC,P
GND,P
A13,A,IN
A14,A,IN
A15,A,IN
A16,A,IN
A17,A,IN
A18,A,IN
A19,A,IN
A20,A,IN
GND,P
A21,A,IN
A22,A,IN
A23,A,IN
NC,?
NC,?
NC,?
NC,?
NC,?
GND,P
VCC,P
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
GND,P
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
VCC,P
